title,model,price,date,url
한성 p54m 노트북 팝니다,기타,50000.0,2025-05-02 01:02:25.884398,https://www.daangn.comhttps://www.daangn.com/kr/buy-sell/%ED%95%9C%EC%84%B1-p54m-%EB%85%B8%ED%8A%B8%EB%B6%81-%ED%8C%9D%EB%8B%88%EB%8B%A4-dry61t4aa49m/?in=%EC%8B%A0%EB%8B%B9%EB%8F%99-28
삼성 노트북 아티브북9 14인치 (118기가),삼성,60000.0,2025-05-02 01:02:25.884402,https://www.daangn.comhttps://www.daangn.com/kr/buy-sell/%EC%82%BC%EC%84%B1-%EB%85%B8%ED%8A%B8%EB%B6%81-%EC%95%84%ED%8B%B0%EB%B8%8C%EB%B6%819-14%EC%9D%B8%EC%B9%98-118%EA%B8%B0%EA%B0%80-5oy2kyyek9yk/?in=%EC%8B%A0%EB%8B%B9%EB%8F%99-28
레노버노트북 아이디어패드330s 14-ikb,레노버,114000.0,2025-05-02 01:02:25.884407,https://www.daangn.comhttps://www.daangn.com/kr/buy-sell/%EB%A0%88%EB%85%B8%EB%B2%84%EB%85%B8%ED%8A%B8%EB%B6%81-%EC%95%84%EC%9D%B4%EB%94%94%EC%96%B4%ED%8C%A8%EB%93%9C330s-14-ikb-ytfnw987yq7z/?in=%EC%8B%A0%EB%8B%B9%EB%8F%99-28
LG 노트북 T5750 + 가방 + 마우스 팝니다,LG,20000.0,2025-05-02 01:02:25.884411,https://www.daangn.comhttps://www.daangn.com/kr/buy-sell/lg-%EB%85%B8%ED%8A%B8%EB%B6%81-t5750-%EA%B0%80%EB%B0%A9-%EB%A7%88%EC%9A%B0%EC%8A%A4-%ED%8C%9D%EB%8B%88%EB%8B%A4-588cn4kykd2q/?in=%EC%8B%A0%EB%8B%B9%EB%8F%99-28
폐노트북,기타,10000.0,2025-05-02 01:02:25.884415,https://www.daangn.comhttps://www.daangn.com/kr/buy-sell/%ED%8F%90%EB%85%B8%ED%8A%B8%EB%B6%81-quc1hvpmztov/?in=%EC%8B%A0%EB%8B%B9%EB%8F%99-28
탐탁 노트북 파우치 14인치,기타,10000.0,2025-05-02 01:02:25.884419,https://www.daangn.comhttps://www.daangn.com/kr/buy-sell/%ED%83%90%ED%83%81-%EB%85%B8%ED%8A%B8%EB%B6%81-%ED%8C%8C%EC%9A%B0%EC%B9%98-14%EC%9D%B8%EC%B9%98-cu5puvnakiir/?in=%EC%8B%A0%EB%8B%B9%EB%8F%99-28
HP Pavilion 노트북 넷북,기타,30000.0,2025-05-02 01:02:25.884423,https://www.daangn.comhttps://www.daangn.com/kr/buy-sell/hp-pavilion-%EB%85%B8%ED%8A%B8%EB%B6%81-%EB%84%B7%EB%B6%81-rebge7zjpmmh/?in=%EC%8B%A0%EB%8B%B9%EB%8F%99-28
집에 굴러다니는 노트북 팝니다,기타,30000.0,2025-05-02 01:02:25.884427,https://www.daangn.comhttps://www.daangn.com/kr/buy-sell/%EC%A7%91%EC%97%90-%EA%B5%B4%EB%9F%AC%EB%8B%A4%EB%8B%88%EB%8A%94-%EB%85%B8%ED%8A%B8%EB%B6%81-%ED%8C%9D%EB%8B%88%EB%8B%A4-k8euv5mwsfws/?in=%EC%8B%A0%EB%8B%B9%EB%8F%99-28
MSI 모던 14 노트북,기타,340000.0,2025-05-02 01:02:25.884431,https://www.daangn.comhttps://www.daangn.com/kr/buy-sell/msi-%EB%AA%A8%EB%8D%98-14-%EB%85%B8%ED%8A%B8%EB%B6%81-9mes9ro3v7di/?in=%EC%8B%A0%EB%8B%B9%EB%8F%99-28
N15TUL 노트북 거치대,기타,20000.0,2025-05-02 01:02:25.884435,https://www.daangn.comhttps://www.daangn.com/kr/buy-sell/n15tul-%EB%85%B8%ED%8A%B8%EB%B6%81-%EA%B1%B0%EC%B9%98%EB%8C%80-zaxfabgaxqqe/?in=%EC%8B%A0%EB%8B%B9%EB%8F%99-28
